Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена
 ЮВАО,Волгоградский проспект,4,3,MR Group,«Метрополия»,Бизнес,квартира,23,29,Предчистовая,3,81.1,,19.0,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,23 978 281
 ЗАО,Фили,6,3,Аеон Девелопмент,«River Park Towers Кутузовский (Ривер Парк Тауэрс Кутузовский)»,Премиум,Студия,3,45,Чистовая,,36.8,,,Монолитно-кирпичный,Подземная,2026,23 999 215
 ЮАО,Серпуховская,17,3,MR Group,«Павелецкая сити»,Бизнес,квартира,4,32,Предчистовая,1,48.9,15.4,19.1,Монолитный,"Подземная, гостевая",2024,24 045 932
,,,0,,,,,,,,,,,,,,,
 ЗАО,Рабочий посёлок,5,3,ПИК,«Академика Павлова»,Комфорт,Студия,14,15,Чистовая,,21.8,10.7,5.5,Монолитный,Подземная,2024,11 154 318
 ЗАО,Аминьевская,3,2,ПИК,«Матвеевский парк»,Комфорт,квартира,24,33,Предчистовая,1,35.97,11.2,17.2,Монолитный,"Подземная, гостевая",2024,11 196 813
 САО,Лианозово,5,3,ПИК,«Бусиновский парк»,Комфорт,квартира,33,33,Чистовая,2,46.3,21.8,15.3,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,11 192 006
 ЗАО,Раменки,3,3,ПИК,«Большая Очаковская 2»,Комфорт,квартира,7,33,Чистовая,1,33.9,10.4,15.6,Монолитный,"Подземная, гостевая",2025,11 156 512
 СЗАО,Трикотажная,6,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,Студия,6,25,Черновая,,25.53,,,Монолитно-кирпичный,"Подземная, гостевая",2023,11 139 578
 САО,Селигерская,10,3,Level Group,«Level Селигерская»,Комфорт,квартира,9,30,Без отделки,2,36.2,20.9,5.2,Монолитный,Подземная,2024,11 266 164
 НАО (Новомосковский),Улица Горчакова,6,3,,«Дзен-кварталы»,,квартира,10,18,Без отделки,2,49.5,23.4,13.0,,,2024,11 202 868
 ЮВАО,Волгоградский проспект,5,3,ПИК,«Первый Дубровский»,Комфорт,квартира,12,38,Чистовая,1,32.7,9.3,16.2,Монолитный,Подземная,2025,11 278 720
 ЮАО,Царицыно,3,3,ПИК,«Кавказский бульвар 51»,Комфорт,квартира,3,33,Чистовая,2,46.3,21.7,15.4,Монолитный,"Подземная, отдельная многоуровневая",2025,11 202 264
 ЗАО,Фили,8,3,ПИК,«Барклая 6»,Бизнес,Студия,22,32,Предчистовая,,26.5,13.1,6.0,Монолитный,"Подземная, гостевая",2025,11 254 682
 ВАО,Сокольники,2,3,,«Апартаменты Берег Яузы»,,апартаменты,4,9,Чистовая,1,33.0,,,,,2022,11 220 000
,,,0,,,,,,,,,,,,,,,
 ЮВАО,Дубровка,3,3,Level Group,«Level Южнопортовая»,Комфорт,квартира,2,69,Без отделки,2,35.4,10.6,16.5,Монолитный,Подземная,2025,11 327 234
 ЮВАО,Угрешская,2,3,Level Group,«Level Южнопортовая»,Комфорт,квартира,2,18,Без отделки,1,38.1,17.3,11.4,Монолитный,Подземная,2025,11 443 758
 НАО (Новомосковский),Ольховая,14,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,квартира,14,14,Чистовая,2,54.9,30.6,,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,11 336 630
 ЮВАО,Братиславская,2,3,ПИК,«Люблинский парк»,Комфорт,квартира,15,33,Чистовая,2,48.5,21.6,16.9,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,11 310 636
 НАО (Новомосковский),Тропарёво,5,3,ГК ФСК,«Движение.Говорово Апарт-комплекс»,Комфорт,апартаменты,2,15,Чистовая,3,59.42,39.0,5.7,"Монолитно-кирпичный, монолитный",Гостевая,2025,11 321 705
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
 ЗАО,Спартак,5,3,СЗ Универсаль,«Клубный дом Рублево»,Премиум,Апартаменты-студия,2,10,Без отделки,,44.5,,,Монолитный,Подземная,2023,11 504 640
 СВАО,Ростокино,4,3,AFI Development,«Afi Tower (Афи Тауэр)»,Бизнес,Студия,27,52,Чистовая,,25.8,,,Монолитный,"Подземная, гостевая",2024,11 455 200
 СЗАО,Стрешнево,11,2,СЗ ПРОГРЕСС,«Комплекс апартаментов B’aires (Байрес)»,Бизнес,апартаменты,10,18,Без отделки,2,37.79,28.8,4.0,Монолитный,Подземная,2022,11 527 555
 НАО (Новомосковский),Ольховая,9,3,Новые Ватутинки,«Новые Ватутинки. Десна»,Комфорт,квартира,2,14,Чистовая,2,52.6,32.7,,"Панельный, монолитный","Подземная, гостевая",2022,11 492 225
 ЗАО,Рабочий посёлок,5,3,ПИК,«Академика Павлова»,Комфорт,Студия,27,33,Чистовая,,27.2,13.3,6.8,Монолитный,Подземная,2024,11 502 526
 СВАО,Отрадное,6,3,ПИК,«Алтуфьевское 53»,Комфорт,квартира,4,33,Чистовая,2,46.3,21.8,15.3,Монолитный,"Подземная, гостевая",2025,11 517 726
 СЗАО,Стрешнево,8,2,ПИК,«Волоколамское 24»,Комфорт,апартаменты,2,28,Чистовая,1,40.2,12.0,21.0,Монолитно-кирпичный,"Подземная, гостевая",2023,11 486 305
,,,0,,,,,,,,,,,,,,,
 ЮАО,Лесопарковая,2,3,Э.К. Девелопмент,«Зеленая Вертикаль»,Комфорт,Студия,13,19,Чистовая,,35.0,,,Панельный,Отдельная многоуровневая,2022,11 567 500
 ЗелАО,Пятницкое шоссе,31,2,ПИК,«Зелёный парк»,Комфорт,Студия,14,25,Чистовая,,19.6,9.4,5.1,Панельный,"Отдельная многоуровневая, гостевая",2024,4 958 898
 НАО (Новомосковский),Филатов Луг,13,3,ПИК,«Середневский лес»,Комфорт,Студия,12,14,Чистовая,,20.1,9.9,5.1,Панельный,Гостевая,2024,5 065 099
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
 НАО (Новомосковский),Филатов Луг,13,3,ПИК,«Середневский лес»,Комфорт,Студия,10,14,Чистовая,,21.9,10.8,5.5,Панельный,Гостевая,2024,5 184 693
 СЗАО,Пятницкое шоссе,5,3,ПИК,«Митинский лес»,Комфорт,Студия,2,19,Чистовая,,20.0,9.7,5.2,Монолитный,Гостевая,2025,5 286 340
 ЮЗАО,Бульвар Адмирала Ушакова,5,3,ПИК,«Никольские луга»,Комфорт,Студия,9,17,Чистовая,,20.0,9.8,5.1,Панельный,Отдельная многоуровневая,2024,5 286 340
 ЮЗАО,Бульвар Адмирала Ушакова,5,3,ПИК,«Никольские луга»,Комфорт,Студия,17,17,Чистовая,,22.0,10.8,5.5,Панельный,Отдельная многоуровневая,2024,5 312 802
 СЗАО,Пятницкое шоссе,4,3,ПИК,«Митинский лес»,Комфорт,Студия,7,32,Чистовая,,20.0,9.8,5.1,Монолитный,Гостевая,2025,5 425 720
 НАО (Новомосковский),Бутово,5,3,ПИК,«Юнино»,Комфорт,Студия,15,17,Чистовая,,21.8,10.7,5.5,Монолитный,Гостевая,2024,5 440 647
 СЗАО,Пятницкое шоссе,4,3,ПИК,«Митинский лес»,Комфорт,Студия,3,19,Чистовая,,20.0,9.8,5.1,Монолитный,Гостевая,2025,5 536 820
 ЮЗАО,Бульвар Адмирала Ушакова,5,3,ПИК,«Никольские луга»,Комфорт,Студия,12,17,Чистовая,,23.8,11.7,5.9,Панельный,Отдельная многоуровневая,2024,5 514 317
 ЮАО,Аннино,3,3,РГ-Девелопмент,«МФК Варшавские ворота»,Комфорт,Апартаменты-студия,2,9,Без отделки,,24.2,13.2,6.0,Монолитный,Подземная,2025,5 566 000
 НАО (Новомосковский),Бунинская аллея,5,3,,«Бунинские кварталы»,,Студия,5,9,Без отделки,,20.9,7.0,6.0,,,2025,5 695 250
 ВАО,Бульвар Рокоссовского,3,3,ПИК,«Открытый парк»,Комфорт,Студия,2,33,Чистовая,,19.9,9.8,5.1,Монолитный,"Отдельная многоуровневая, гостевая",2024,5 742 284
,,,0,,,,,,,,,,,,,,,
 ЮВАО,Братиславская,3,3,ПИК,«Люблинский парк»,Комфорт,Студия,16,16,Чистовая,,19.9,9.8,5.1,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,5 802 581
 ЮАО,Красный Строитель,5,3,ПИК,«Ютаново»,Комфорт,Студия,10,20,Чистовая,,20.01,9.7,5.1,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025,5 824 110
 ЮВАО,Марьино,3,3,Seven Suns Development,«Светлый мир Станция Л»,Комфорт,Студия,10,25,Чистовая,,25.26,11.1,5.7,Монолитный,Гостевая,2024,5 971 464
 ВАО,Бульвар Рокоссовского,3,3,ПИК,«Открытый парк»,Комфорт,Студия,24,33,Чистовая,,19.9,9.8,5.1,Монолитный,"Отдельная многоуровневая, гостевая",2024,5 991 511
 ЮАО,Царицыно,3,3,ПИК,«Кавказский бульвар 51»,Комфорт,Студия,4,23,Чистовая,,19.8,9.8,5.0,Монолитный,"Подземная, отдельная многоуровневая",2025,5 957 255
 ЮАО,Аннино,3,3,РГ-Девелопмент,«МФК Варшавские ворота»,Комфорт,Апартаменты-студия,9,30,Без отделки,,26.0,11.0,10.0,Монолитный,Подземная,2025,5 902 000
 ВАО,Бульвар Рокоссовского,2,3,ПИК,«Открытый парк»,Комфорт,Студия,8,17,Чистовая,,19.9,9.8,5.1,Монолитный,"Отдельная многоуровневая, гостевая",2024,6 037 739
 ЮАО,Царицыно,3,3,ПИК,«Кавказский бульвар 51»,Комфорт,Студия,9,33,Чистовая,,19.9,9.8,5.1,Монолитный,"Подземная, отдельная многоуровневая",2025,6 011 856
 ЮВАО,Братиславская,3,3,ПИК,«Люблинский парк»,Комфорт,Студия,14,17,Чистовая,,19.8,9.4,5.1,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,6 061 393
 САО,Бескудниково,6,3,ПИК,«Бусиновский парк»,Комфорт,Студия,29,33,Чистовая,,20.0,9.8,5.1,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,6 138 239
 СВАО,Алтуфьево,6,3,ПИК,«Полар»,Комфорт,Студия,2,11,Чистовая,,21.9,10.3,5.6,Монолитный,"Подземная, гостевая",2025,6 168 989
 САО,Селигерская,10,3,Level Group,«Level Селигерская»,Комфорт,Студия,15,33,Без отделки,,15.9,8.6,1.2,Монолитный,Подземная,2024,6 225 630
 СВАО,Алтуфьево,6,3,ПИК,«Полар»,Комфорт,Студия,2,32,Чистовая,,20.4,10.5,4.9,Монолитный,"Подземная, гостевая",2025,6 261 555
 СВАО,Бабушкинская,6,3,ПИК,«Полярная 25»,Комфорт,Студия,4,33,Чистовая,,19.8,8.7,4.9,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025,6 247 375
 НАО (Новомосковский),Филатов Луг,13,3,ПИК,«Середневский лес»,Комфорт,квартира,9,9,Чистовая,1,32.2,12.6,10.5,Панельный,Гостевая,2025,6 214 954
 ЮАО,Аннино,3,3,РГ-Девелопмент,«МФК Варшавские ворота»,Комфорт,Апартаменты-студия,4,30,Без отделки,,27.6,12.6,10.0,Монолитный,Подземная,2025,6 210 000
 ЮВАО,Братиславская,3,3,ПИК,«Люблинский парк»,Комфорт,Студия,7,16,Чистовая,,21.8,10.7,5.5,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,6 340 553
 НАО (Новомосковский),Филатов Луг,5,3,ПИК,«Саларьево парк»,Комфорт,Студия,12,14,Чистовая,,19.9,9.8,5.0,Монолитный,"Подземная, гостевая",2025,6 345 254
 СВАО,Алтуфьево,5,3,ПИК,«Полар»,Комфорт,Студия,27,32,Чистовая,,22.4,11.7,5.4,Монолитный,"Подземная, гостевая",2025,6 438 790
 ЮАО,Царицыно,4,3,ПИК,«Кавказский бульвар 51»,Комфорт,Студия,13,23,Чистовая,,19.8,9.8,5.0,Монолитный,"Подземная, отдельная многоуровневая",2024,6 481 640
 САО,Лианозово,5,3,ПИК,«Бусиновский парк»,Комфорт,Студия,13,20,Чистовая,,23.8,11.6,6.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,6 454 559
 НАО (Новомосковский),Бунинская аллея,5,3,ПИК,«Бунинские луга»,Комфорт,Студия,8,17,Чистовая,,23.8,11.7,6.0,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,6 480 644
 ВАО,Измайлово,4,3,ПИК,«Амурский парк»,Комфорт,Студия,5,28,Чистовая,,19.9,9.8,5.1,Монолитный,"Подземная, гостевая",2025,6 502 026
 ЮВАО,Люблино,5,3,ПИК,«Люблинский парк»,Комфорт,Студия,19,25,Чистовая,,21.5,10.2,5.6,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,6 501 471
 ЮАО,Красный Строитель,3,3,ПИК,«Ютаново»,Комфорт,Студия,2,33,Чистовая,,25.46,12.5,6.4,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025,6 536 651
 ЮАО,Красный Строитель,3,3,ПИК,«Ютаново»,Комфорт,Студия,25,33,Чистовая,,23.77,11.7,5.9,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025,6 506 086
 ВАО,Партизанская,5,3,ПИК,«Лосиноостровский парк»,Комфорт,Студия,2,33,Чистовая,,19.9,9.8,5.1,Монолитный,Гостевая,2024,6 526 145
 НАО (Новомосковский),Бунинская аллея,5,3,ПИК,«Бунинские луга»,Комфорт,Студия,13,17,Чистовая,,21.5,10.3,5.5,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,6 518 843
 ЮВАО,Стахановская,3,3,ПИК,«Волжский парк»,Комфорт,Студия,15,24,Чистовая,,20.1,9.8,5.2,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,6 581 584
 ВАО,Бульвар Рокоссовского,3,3,ПИК,«Открытый парк»,Комфорт,Студия,24,33,Чистовая,,23.6,11.6,5.9,Монолитный,"Отдельная многоуровневая, гостевая",2024,6 566 818
 ЮАО,Красный Строитель,5,3,ПИК,«Ютаново»,Комфорт,Студия,17,33,Чистовая,,23.78,11.6,6.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025,6 573 671
 НАО (Новомосковский),Филатов Луг,5,3,А101,«Прокшино»,Бизнес,Студия,8,16,Без отделки,,20.6,8.3,5.0,Монолитный,"Подземная, гостевая",2024,6 620 741
 НАО (Новомосковский),Саларьево,4,3,ПИК,«Саларьево парк»,Комфорт,Студия,11,14,Чистовая,,20.0,9.8,5.1,Монолитный,"Подземная, гостевая",2025,6 649 840
 НАО (Новомосковский),Улица Горчакова,5,3,,«Дзен-кварталы»,,Студия,4,18,Без отделки,,21.7,7.8,7.8,,,2025,6 707 672
 НАО (Новомосковский),Бунинская аллея,5,3,,«Бунинские кварталы»,,Студия,7,16,Без отделки,,24.5,10.6,6.8,,,2024,6 689 468
 ЮВАО,Нижегородская,5,3,ПИК,«Волжский парк»,Комфорт,Студия,20,23,Чистовая,,19.7,9.5,5.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,6 677 433
 ЗАО,Давыдково,5,3,ПИК,«Новое Очаково»,Комфорт,Студия,12,33,Чистовая,,20.2,9.9,5.2,Монолитный,"Подземная, гостевая",2024,6 651 052
 ЗАО,Давыдково,5,3,ПИК,«Новое Очаково»,Комфорт,Студия,23,33,Предчистовая,,23.7,11.7,6.0,Монолитный,"Подземная, гостевая",2024,6 683 210
 ЮАО,Кантемировская,4,3,ПИК,«Кавказский бульвар 51»,Комфорт,Студия,4,33,Чистовая,,21.8,10.7,5.5,Монолитный,"Подземная, отдельная многоуровневая",2024,6 684 315
 ЮВАО,Нижегородская,12,2,ПИК,«Перовское 2»,Комфорт,Студия,6,33,Чистовая,,19.97,9.9,5.1,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,6 716 510
 НАО (Новомосковский),Бульвар Адмирала Ушакова,5,3,ПИК,«Бунинские луга»,Комфорт,Студия,14,17,Чистовая,,23.6,11.6,5.9,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,6 712 217
 СВАО,Владыкино,5,3,ПИК,«Римского-Корсакова 11»,Комфорт,Студия,2,24,Чистовая,,21.8,10.7,5.5,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,6 664 848
 ВАО,Партизанская,5,3,ПИК,«Лосиноостровский парк»,Комфорт,Студия,13,17,Чистовая,,20.1,9.9,5.1,Монолитный,Гостевая,2024,6 756 172
 НАО (Новомосковский),Филатов Луг,5,3,ПИК,«Саларьево парк»,Комфорт,Студия,5,14,Чистовая,,23.7,11.6,6.0,Монолитный,"Подземная, гостевая",2025,6 781 352
 САО,Селигерская,10,3,Level Group,«Level Селигерская»,Комфорт,Студия,13,30,Без отделки,,18.6,6.2,3.6,Монолитный,Подземная,2024,6 899 727
 НАО (Новомосковский),Ольховая,10,3,Новые Ватутинки,«Новые Ватутинки. Заречный»,Комфорт,Студия,8,12,Без отделки,,30.3,14.6,,Монолитный,"Подземная, гостевая",2025,6 841 740
 НАО (Новомосковский),Ольховая,14,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,Студия,7,14,Чистовая,,25.4,13.2,,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,6 899 148
 НАО (Новомосковский),Бунинская аллея,5,3,,«Бунинские кварталы»,,Студия,15,17,Предчистовая,,20.4,6.5,6.9,,,2024,6 826 145
 НАО (Новомосковский),Улица Скобелевская,5,3,А101,«Скандинавия»,Комфорт,Студия,6,17,Без отделки,,23.5,8.9,6.8,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,6 854 041
 ЮАО,Нагатинская,5,3,ПИК,«Второй Нагатинский»,Комфорт,Студия,2,33,Чистовая,,19.9,9.8,5.1,Монолитный,"Подземная, гостевая",2025,6 873 858
 СВАО,Отрадное,4,3,ПИК,«Сигнальный 16»,Комфорт,Студия,20,33,Чистовая,,21.6,10.7,5.4,Монолитный,"Подземная, гостевая",2025,6 878 584
 НАО (Новомосковский),Бунинская аллея,5,3,,«Бунинские кварталы»,,Студия,14,17,Предчистовая,,20.5,6.5,6.9,,,2024,6 918 480
 ЗАО,Давыдково,5,3,ПИК,«Новое Очаково»,Комфорт,Студия,16,33,Чистовая,,20.2,9.6,5.5,Монолитный,"Подземная, гостевая",2024,6 916 278
 ЮВАО,Дубровка,3,3,Level Group,«Level Южнопортовая»,Комфорт,Студия,4,24,Без отделки,,17.7,8.6,3.0,Монолитный,Подземная,2025,6 997 202
 НАО (Новомосковский),Ольховая,14,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,Студия,6,14,Чистовая,,25.7,12.9,,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,6 952 878
 ВАО,Сокольники,3,2,ПИК,«Сокольнический вал 1»,Комфорт,Апартаменты-студия,10,21,Чистовая,,25.3,12.4,6.5,Монолитный,-,2023,6 988 113
 НАО (Новомосковский),Филатов Луг,13,3,ПИК,«Середневский лес»,Комфорт,квартира,8,9,Чистовая,1,37.84,10.6,20.2,Панельный,Гостевая,2025,6 993 967
 ЗелАО,Пятницкое шоссе,31,2,ПИК,«Зелёный парк»,Комфорт,квартира,20,25,Чистовая,1,32.0,12.3,10.1,Панельный,"Отдельная многоуровневая, гостевая",2024,7 010 208
 ЮАО,Нагатинская,3,3,ПИК,«Второй Нагатинский»,Комфорт,Студия,31,33,Чистовая,,19.9,9.8,5.1,Монолитный,"Подземная, гостевая",2025,7 018 570
 ЮАО,Нагатинская,4,3,ПИК,«Второй Нагатинский»,Комфорт,Студия,12,33,Чистовая,,19.9,9.8,5.1,Монолитный,"Подземная, гостевая",2025,7 088 917
,,,0,,,,,,,,,,,,,,,
 СВАО,Владыкино,5,3,ПИК,«Римского-Корсакова 11»,Комфорт,Студия,9,24,Чистовая,,21.8,10.7,5.5,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,7 127 226
 САО,Водники,13,3,ДСК-1,«Первый Ленинградский»,Комфорт,Студия,5,14,Предчистовая,,24.7,9.5,,Панельный,"Отдельная многоуровневая, гостевая",2023,7 190 269
 ВАО,Измайлово,4,3,ПИК,«Амурский парк»,Комфорт,Студия,17,28,Чистовая,,23.5,11.5,5.9,Монолитный,"Подземная, гостевая",2025,7 160 849
 ВАО,Бульвар Рокоссовского,3,3,ПИК,«Открытый парк»,Комфорт,Студия,5,33,Чистовая,,25.5,12.5,6.4,Монолитный,"Отдельная многоуровневая, гостевая",2024,7 159 890
 ЮЗАО,Бульвар Адмирала Ушакова,5,3,ПИК,«Никольские луга»,Комфорт,квартира,5,9,Чистовая,1,34.5,10.2,16.1,Панельный,Отдельная многоуровневая,2024,7 150 194
 ЮЗАО,Бульвар Адмирала Ушакова,5,3,ПИК,«Никольские луга»,Комфорт,квартира,9,9,Чистовая,1,36.3,10.6,18.4,Панельный,Отдельная многоуровневая,2024,7 229 943
 ЗАО,Аминьевская,3,2,ПИК,«Матвеевский парк»,Комфорт,Студия,2,33,Предчистовая,,19.85,9.9,5.0,Монолитный,"Подземная, гостевая",2024,7 215 455
 ЮАО,Нагатинская,5,3,ПИК,«Второй Нагатинский»,Комфорт,Студия,14,33,Чистовая,,21.8,10.7,5.5,Монолитный,"Подземная, гостевая",2025,7 268 141
 НАО (Новомосковский),Рассказовка,7,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,Студия,20,20,Без отделки,,26.9,14.6,,"Панельный, монолитный",Гостевая,2024,7 263 614
 СВАО,Владыкино,5,3,ПИК,«Римского-Корсакова 11»,Комфорт,Студия,13,24,Чистовая,,23.6,11.5,6.0,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,7 331 953
 НАО (Новомосковский),Филатов Луг,4,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,Студия,22,22,Чистовая,,25.9,13.5,,"Панельный, монолитный",Гостевая,2025,7 339 743
,,,0,,,,,,,,,,,,,,,
 САО,Водники,12,3,ДСК-1,«Первый Ленинградский»,Комфорт,Студия,8,14,Предчистовая,,28.0,12.1,,Панельный,"Отдельная многоуровневая, гостевая",2024,7 380 800
 СЗАО,Спартак,4,3,Level Group,«Апартаментный комплекс Level Стрешнево (Левел Стрешнево)»,Бизнес,Апартаменты-студия,4,25,Без отделки,,23.9,18.8,,Монолитный,"Подземная, гостевая",2022,7 365 936
 ЮВАО,Волгоградский проспект,8,3,ПИК,«Первый Дубровский»,Комфорт,Студия,2,38,Чистовая,,20.01,9.6,5.2,Монолитный,Подземная,2026,7 413 064
 СВАО,Бабушкинская,5,3,ПИК,«Кольская 8»,Комфорт,Студия,11,15,Чистовая,,20.0,9.8,5.1,"Панельный, монолитный","Подземная, гостевая",2025,7 409 360
 ЗАО,Юго-Западная,4,3,ПИК,«Мичуринский парк»,Комфорт,Студия,9,21,Предчистовая,,22.0,10.7,5.7,Монолитный,"Подземная, гостевая",2024,7 394 816
 ЗАО,Раменки,3,3,ПИК,«Большая Очаковская 2»,Комфорт,Студия,2,33,Чистовая,,21.7,9.8,6.3,Монолитный,"Подземная, гостевая",2025,7 429 701
 НАО (Новомосковский),Прокшино,5,3,ПИК,«Саларьево парк»,Комфорт,Студия,8,18,Чистовая,,25.4,12.5,6.3,Монолитный,"Подземная, гостевая",2024,7 385 786
 НАО (Новомосковский),Филатов Луг,5,3,А101,«Прокшино»,Бизнес,Студия,9,12,Предчистовая,,21.0,8.5,5.1,Монолитный,"Подземная, гостевая",2024,7 510 661
 ВАО,Измайлово,4,3,ПИК,«Амурский парк»,Комфорт,Студия,16,33,Чистовая,,23.6,11.5,5.9,Монолитный,"Подземная, гостевая",2025,7 563 162
 ЗелАО,Пятницкое шоссе,31,2,ПИК,«Зелёный парк»,Комфорт,квартира,11,11,Чистовая,1,32.0,9.1,15.9,Панельный,"Отдельная многоуровневая, гостевая",2024,7 520 864
 ВАО,Партизанская,5,3,ПИК,«Лосиноостровский парк»,Комфорт,Студия,2,33,Чистовая,,25.5,12.5,6.4,Монолитный,Гостевая,2024,7 569 394
 ВАО,Сокольники,3,2,ПИК,«Сокольнический вал 1»,Комфорт,Апартаменты-студия,19,21,Чистовая,,29.0,14.2,7.3,Монолитный,-,2023,7 571 610
 ЮВАО,Нижегородская,4,3,ПИК,«Новохохловская 15»,Комфорт,Студия,14,33,Чистовая,,20.0,9.8,5.1,Монолитный,"Подземная, гостевая",2023,7 593 180
 СВАО,Владыкино,5,3,ПИК,«Римского-Корсакова 11»,Комфорт,Студия,4,24,Чистовая,,25.4,12.4,6.4,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,7 508 925
 НАО (Новомосковский),Филатов Луг,4,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,Студия,19,22,Чистовая,,26.8,14.4,,"Панельный, монолитный",Гостевая,2025,7 566 031
 НАО (Новомосковский),Щербинка,11,3,ПИК,«Юнино»,Комфорт,квартира,17,17,Чистовая,1,35.98,17.3,10.5,Монолитный,Гостевая,2024,7 638 625
 ЮВАО,Волгоградский проспект,8,3,ПИК,«Первый Дубровский»,Комфорт,Студия,4,33,Чистовая,,20.08,9.9,5.1,Монолитный,Подземная,2026,7 643 833
 ВАО,Сокольники,3,2,ПИК,«Сокольнический вал 1»,Комфорт,Апартаменты-студия,9,21,Чистовая,,23.4,11.6,6.0,Монолитный,-,2023,7 637 760
 СЗАО,Спартак,5,3,ПИК,«Holland park (Холланд парк)»,Комфорт,Студия,2,13,Без отделки,,24.1,11.0,5.5,Монолитный,"Подземная, гостевая",2024,7 745 306
 ЗелАО,Пятницкое шоссе,31,2,ПИК,«Зелёный парк»,Комфорт,квартира,24,25,Чистовая,1,35.6,10.1,17.0,Панельный,"Отдельная многоуровневая, гостевая",2024,7 705 370
 ВАО,Сокольники,3,2,ПИК,«Сокольнический вал 1»,Комфорт,Апартаменты-студия,8,21,Чистовая,,25.2,12.4,6.5,Монолитный,-,2023,7 678 440
 СВАО,Окружная,3,3,ПИК,«Сигнальный 16»,Комфорт,Студия,13,33,Чистовая,,27.3,13.4,6.7,Монолитный,"Подземная, гостевая",2025,7 692 867
 НАО (Новомосковский),Филатов Луг,13,3,ПИК,«Середневский лес»,Комфорт,квартира,9,9,Чистовая,1,40.75,9.4,16.3,Панельный,Гостевая,2025,7 667 642
 ЮЗАО,Бульвар Адмирала Ушакова,4,3,А101,«Южные сады»,Комфорт,Студия,11,30,Предчистовая,,23.6,11.7,3.0,Монолитный,"Подземная, гостевая",2025,7 797 312
 ЮЗАО,Бульвар Адмирала Ушакова,4,3,А101,«Южные сады»,Комфорт,Студия,21,23,Без отделки,,24.6,9.0,6.0,Монолитный,"Подземная, гостевая",2023,7 804 559
 НАО (Новомосковский),Улица Скобелевская,5,3,А101,«Скандинавия»,Комфорт,Студия,8,16,Без отделки,,24.1,9.1,7.4,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,7 842 312
 НАО (Новомосковский),Рассказовка,2,3,Абсолют Недвижимость,«Переделкино Ближнее Город-парк»,Комфорт,Студия,14,17,Без отделки,,28.7,12.5,,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,7 773 399
,,,0,,,,,,,,,,,,,,,
 ЗАО,Аминьевская,3,3,ПИК,«Матвеевский парк»,Комфорт,Студия,13,33,Чистовая,,20.12,9.9,5.1,Монолитный,"Подземная, гостевая",2024,7 876 497
 ЮВАО,Дубровка,4,3,MR Group,«Метрополия»,Бизнес,Апартаменты-студия,11,30,Предчистовая,,25.2,,18.1,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,7 889 682
,,,0,,,,,,,,,,,,,,,
