Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена
 НАО (Новомосковский),Тропарёво,5,3,ГК ФСК,«Движение.Говорово Апарт-комплекс»,Комфорт,апартаменты,2,15,Чистовая,3,59.31,39.0,6.2,"Монолитно-кирпичный, монолитный",Гостевая,2025,12 373 551
 НАО (Новомосковский),Бунинская аллея,5,3,,«Бунинские кварталы»,,квартира,4,17,Без отделки,4,72.4,34.1,22.2,,,2025,12 691 720
 ЮЗАО,Бульвар Адмирала Ушакова,5,3,А101,«Южные сады»,Комфорт,квартира,3,30,Без отделки,4,77.1,36.5,17.4,Монолитный,"Подземная, гостевая",2025,15 919 349
 СЗАО,Сходненская,3,3,ГК ФСК,«Sky Garden (Скай Гарден)»,Бизнес,квартира,24,30,Предчистовая,3,81.2,38.3,13.9,Монолитный,"Подземная, гостевая",2025,21 098 318
 ЮАО,Серпуховская,17,3,MR Group,«Павелецкая сити»,Бизнес,квартира,2,32,Предчистовая,2,64.1,24.9,26.6,Монолитный,"Подземная, гостевая",2024,26 305 578
 СЗАО,Стрешнево,11,2,Мангазея,«Интонация»,Бизнес,квартира,6,21,Без отделки,2,75.0,33.0,15.9,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,28 432 500
 ЮВАО,Лухмановская,4,3,Группа Самолет,«Квартал Некрасовка»,Комфорт,квартира,23,23,Чистовая,3,58.8,40.8,,Монолитный,Гостевая,2022,14 407 081
 НАО (Новомосковский),Рассказовка,2,3,Абсолют Недвижимость,«Переделкино Ближнее Город-парк»,Комфорт,квартира,7,17,Неизвестно,3,78.0,44.0,,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,14 959 446
 НАО (Новомосковский),Филатов Луг,12,3,ГК МИЦ,«Цветочные поляны»,Комфорт,квартира,6,7,Чистовая,4,88.5,46.7,5.3,Монолитный,"Отдельная многоуровневая, гостевая",2022,18 505 350
 ЗАО,Аминьевская,5,3,,«ОМ»,,квартира,2,23,Без отделки,3,64.3,,19.9,,,2025,19 167 438
 СВАО,Алексеевская,16,3,КОРТРОС,«iLove (АйЛав)»,Бизнес,квартира,9,32,Без отделки,3,64.84,48.6,,Монолитный,"Подземная, гостевая",2023,21 000 000
 ЮВАО,Люблино,3,2,Forma,«Portland (Портленд)»,Бизнес,квартира,11,22,Без отделки,2,70.5,25.8,21.3,Монолитный,"Подземная, гостевая",2025,23 115 681
 СЗАО,Карамышевская,2,3,Концерн КРОСТ,«Crystal (Кристал)»,Бизнес,квартира,4,28,Без отделки,3,79.5,,17.4,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025,25 201 500
 СЗАО,Тушинская,5,3,"ООО ""СЗ ""Стадион ""Спартак""",«Клубный город на реке Primavera (Примавера)»,Премиум,квартира,2,13,Черновая,2,66.7,31.9,13.3,Монолитный,"Подземная, гостевая",2025,25 499 410
 ЗАО,Кунцевская,3,3,Ташир,«West Tower (Апартаменты бизнес-класса) (Вест Тауэр)»,Бизнес,апартаменты,15,21,С отделкой,3,74.5,46.9,7.8,Монолитный,"Подземная, гостевая",2020,25 881 300
 САО,Петровский Парк,5,3,Glincom,«Verdi (Верди)»,Премиум,апартаменты,1,8,Без отделки,3,72.1,,,Монолитный,-,2024,28 452 700
 НАО (Новомосковский),Филатов Луг,4,3,А101,«Прокшино»,Бизнес,квартира,12,15,Без отделки,3,52.8,22.2,16.2,Монолитный,"Подземная, гостевая",2024,13 402 061
 СЗАО,Шелепиха,10,2,Level Group,«Level Причальный (Левел Причальный)»,Бизнес,квартира,10,32,Без отделки,2,44.5,25.0,6.3,"Монолитно-кирпичный, монолитный",Подземная,2023,18 458 872
 СЗАО,Шелепиха,10,2,Level Group,«Level Причальный (Левел Причальный)»,Бизнес,квартира,10,32,Без отделки,2,44.5,25.0,6.3,"Монолитно-кирпичный, монолитный",Подземная,2023,18 458 872
 НАО (Новомосковский),Прокшино,3,3,,,,квартира,2,15,Без отделки,3,88.4,47.0,18.7,,,2022,18 707 817
 НАО (Новомосковский),Рассказовка,7,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,8,21,Чистовая,3,93.1,44.8,,"Панельный, монолитный",Гостевая,2024,19 253 620
 ЮАО,Аннино,3,3,РГ-Девелопмент,«МФК Варшавские ворота»,Комфорт,квартира,10,30,Без отделки,3,74.9,41.3,14.2,Монолитный,Подземная,2025,19 713 680
 СЗАО,Тушинская,3,3,MR Group,«City Bay (Сити Бэй)»,Бизнес,квартира,2,52,Предчистовая,3,84.7,40.1,,Монолитный,Подземная,2023,20 829 565
 СВАО,Марьина роща,8,2,MR Group,«Mod (Мод)»,Премиум,квартира,10,55,Предчистовая,2,64.35,,,Монолитно-кирпичный,"Подземная, гостевая",2024,23 101 650
 ЦАО,Краснопресненская,3,3,,,,квартира,24,26,Предчистовая,1,39.62,11.9,8.3,,,2025,28 312 650
 ЦАО,Электрозаводская,15,2,Level Group,«Level Бауманская»,Бизнес,квартира,3,17,Без отделки,3,73.9,28.3,25.8,Монолитный,Подземная,2025,30 439 396
 СВАО,Бутырская,10,3,Sminex-Интеко,«Дом Достижение»,Премиум,квартира,2,21,Без отделки,3,79.46,42.6,11.8,Монолитный,Подземная,2024,32 360 000
 НАО (Новомосковский),Улица Скобелевская,5,3,А101,«Скандинавия»,Комфорт,квартира,2,15,Без отделки,3,57.5,22.8,18.1,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,12 543 077
 ЗАО,Раменки,2,3,Level Group,«Level Мичуринский»,Бизнес,квартира,20,54,Без отделки,2,53.9,13.1,21.0,Монолитный,"Подземная, гостевая",2025,20 824 266
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
 СЗАО,Полежаевская,3,3,ГК МИЦ,«Вереск»,Бизнес,квартира,2,9,Без отделки,3,88.9,45.9,17.8,Монолитный,"Подземная, гостевая",2023,27 653 790
 СВАО,Рижская,3,3,СИТИ21,«Hill8 (Хилл8)»,Премиум,апартаменты,4,15,Неизвестно,2,75.8,,,Монолитный,"Подземная, гостевая",2021,30 146 071
 ЮЗАО,Ленинский проспект,13,3,Hutton Development,«Lunar (Лунар)»,Премиум,апартаменты,5,8,Чистовая,1,48.73,12.5,22.8,"Монолитно-кирпичный, монолитный",Подземная,2023,31 000 000
 ЮАО,Коломенская,3,3,Level Group,«Level Нагатинская (Левел Нагатинская)»,Бизнес,квартира,24,26,Без отделки,2,40.0,26.7,2.7,Монолитный,"Подземная, гостевая",2023,15 593 991
