Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена,Цена за 1 кв.м
 НАО (Новомосковский),Бутово,5.0,3,ПИК,«Юнино»,Комфорт,Студия,15.0,17.0,Чистовая,1.0,21.8,10.7,5.5,Монолитный,Гостевая,2024.0,5440647,249570.9633027523
 СЗАО,Пятницкое шоссе,4.0,3,ПИК,«Митинский лес»,Комфорт,Студия,3.0,19.0,Чистовая,1.0,20.0,9.8,5.1,Монолитный,Гостевая,2025.0,5536820,276841.0
 ЮЗАО,Бульвар Адмирала Ушакова,5.0,3,ПИК,«Никольские луга»,Комфорт,Студия,12.0,17.0,Чистовая,1.0,23.8,11.7,5.9,Панельный,Отдельная многоуровневая,2024.0,5514317,231693.99159663866
 ЮАО,Аннино,3.0,3,РГ-Девелопмент,«МФК Варшавские ворота»,Комфорт,Апартаменты-студия,2.0,9.0,Без отделки,2.0,24.2,13.2,6.0,Монолитный,Подземная,2025.0,5566000,230000.0
 НАО (Новомосковский),Бунинская аллея,5.0,3,,«Бунинские кварталы»,,Студия,5.0,9.0,Без отделки,1.0,20.9,7.0,6.0,,,2025.0,5695250,272500.0
 ВАО,Бульвар Рокоссовского,3.0,3,ПИК,«Открытый парк»,Комфорт,Студия,2.0,33.0,Чистовая,1.0,19.9,9.8,5.1,Монолитный,"Отдельная многоуровневая, гостевая",2024.0,5742284,288556.98492462316
 ЮВАО,Братиславская,3.0,3,ПИК,«Люблинский парк»,Комфорт,Студия,16.0,16.0,Чистовая,1.0,19.9,9.8,5.1,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,5802581,291586.98492462316
 ЮАО,Красный Строитель,5.0,3,ПИК,«Ютаново»,Комфорт,Студия,10.0,20.0,Чистовая,1.0,20.01,9.7,5.1,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025.0,5824110,291059.97001499246
 ЮВАО,Марьино,3.0,3,Seven Suns Development,«Светлый мир Станция Л»,Комфорт,Студия,10.0,25.0,Чистовая,1.0,25.26,11.1,5.7,Монолитный,Гостевая,2024.0,5971464,236399.99999999997
 ВАО,Бульвар Рокоссовского,3.0,3,ПИК,«Открытый парк»,Комфорт,Студия,24.0,33.0,Чистовая,1.0,19.9,9.8,5.1,Монолитный,"Отдельная многоуровневая, гостевая",2024.0,5991511,301080.95477386937
 ЮАО,Царицыно,3.0,3,ПИК,«Кавказский бульвар 51»,Комфорт,Студия,4.0,23.0,Чистовая,1.0,19.8,9.8,5.0,Монолитный,"Подземная, отдельная многоуровневая",2025.0,5957255,300871.4646464646
 ЮАО,Аннино,3.0,3,РГ-Девелопмент,«МФК Варшавские ворота»,Комфорт,Апартаменты-студия,9.0,30.0,Без отделки,2.0,26.0,11.0,10.0,Монолитный,Подземная,2025.0,5902000,227000.0
 ВАО,Бульвар Рокоссовского,2.0,3,ПИК,«Открытый парк»,Комфорт,Студия,8.0,17.0,Чистовая,1.0,19.9,9.8,5.1,Монолитный,"Отдельная многоуровневая, гостевая",2024.0,6037739,303403.96984924626
 ЮАО,Царицыно,3.0,3,ПИК,«Кавказский бульвар 51»,Комфорт,Студия,9.0,33.0,Чистовая,1.0,19.9,9.8,5.1,Монолитный,"Подземная, отдельная многоуровневая",2025.0,6011856,302103.3165829146
 ЮВАО,Братиславская,3.0,3,ПИК,«Люблинский парк»,Комфорт,Студия,14.0,17.0,Чистовая,1.0,19.8,9.4,5.1,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,6061393,306130.9595959596
 САО,Бескудниково,6.0,3,ПИК,«Бусиновский парк»,Комфорт,Студия,29.0,33.0,Чистовая,1.0,20.0,9.8,5.1,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,6138239,306911.95
 СВАО,Алтуфьево,6.0,3,ПИК,«Полар»,Комфорт,Студия,2.0,11.0,Чистовая,1.0,21.9,10.3,5.6,Монолитный,"Подземная, гостевая",2025.0,6168989,281688.99543378997
 САО,Селигерская,10.0,3,Level Group,«Level Селигерская»,Комфорт,Студия,15.0,33.0,Без отделки,1.0,15.9,8.6,1.2,Монолитный,Подземная,2024.0,6225630,391549.05660377356
 СВАО,Алтуфьево,6.0,3,ПИК,«Полар»,Комфорт,Студия,2.0,32.0,Чистовая,1.0,20.4,10.5,4.9,Монолитный,"Подземная, гостевая",2025.0,6261555,306938.9705882353
 СВАО,Бабушкинская,6.0,3,ПИК,«Полярная 25»,Комфорт,Студия,4.0,33.0,Чистовая,1.0,19.8,8.7,4.9,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025.0,6247375,315523.9898989899
 НАО (Новомосковский),Филатов Луг,13.0,3,ПИК,«Середневский лес»,Комфорт,квартира,9.0,9.0,Чистовая,1.0,32.2,12.6,10.5,Панельный,Гостевая,2025.0,6214954,193010.99378881985
 ЮАО,Аннино,3.0,3,РГ-Девелопмент,«МФК Варшавские ворота»,Комфорт,Апартаменты-студия,4.0,30.0,Без отделки,2.0,27.6,12.6,10.0,Монолитный,Подземная,2025.0,6210000,225000.0
 ЮВАО,Братиславская,3.0,3,ПИК,«Люблинский парк»,Комфорт,Студия,7.0,16.0,Чистовая,1.0,21.8,10.7,5.5,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,6340553,290851.05504587153
 НАО (Новомосковский),Филатов Луг,5.0,3,ПИК,«Саларьево парк»,Комфорт,Студия,12.0,14.0,Чистовая,1.0,19.9,9.8,5.0,Монолитный,"Подземная, гостевая",2025.0,6345254,318856.98492462316
 СВАО,Алтуфьево,5.0,3,ПИК,«Полар»,Комфорт,Студия,27.0,32.0,Чистовая,1.0,22.4,11.7,5.4,Монолитный,"Подземная, гостевая",2025.0,6438790,287445.98214285716
 ЮАО,Царицыно,4.0,3,ПИК,«Кавказский бульвар 51»,Комфорт,Студия,13.0,23.0,Чистовая,1.0,19.8,9.8,5.0,Монолитный,"Подземная, отдельная многоуровневая",2024.0,6481640,327355.55555555556
 САО,Лианозово,5.0,3,ПИК,«Бусиновский парк»,Комфорт,Студия,13.0,20.0,Чистовая,1.0,23.8,11.6,6.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,6454559,271199.9579831933
 НАО (Новомосковский),Бунинская аллея,5.0,3,ПИК,«Бунинские луга»,Комфорт,Студия,8.0,17.0,Чистовая,1.0,23.8,11.7,6.0,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,6480644,272295.9663865546
 ВАО,Измайлово,4.0,3,ПИК,«Амурский парк»,Комфорт,Студия,5.0,28.0,Чистовая,1.0,19.9,9.8,5.1,Монолитный,"Подземная, гостевая",2025.0,6502026,326734.9748743719
 ЮВАО,Люблино,5.0,3,ПИК,«Люблинский парк»,Комфорт,Студия,19.0,25.0,Чистовая,1.0,21.5,10.2,5.6,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,6501471,302394.0
 ЮАО,Красный Строитель,3.0,3,ПИК,«Ютаново»,Комфорт,Студия,2.0,33.0,Чистовая,1.0,25.46,12.5,6.4,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025.0,6536651,256741.98743126472
 ЮАО,Красный Строитель,3.0,3,ПИК,«Ютаново»,Комфорт,Студия,25.0,33.0,Чистовая,1.0,23.77,11.7,5.9,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025.0,6506086,273709.9705511149
 ВАО,Партизанская,5.0,3,ПИК,«Лосиноостровский парк»,Комфорт,Студия,2.0,33.0,Чистовая,1.0,19.9,9.8,5.1,Монолитный,Гостевая,2024.0,6526145,327946.98492462316
 НАО (Новомосковский),Бунинская аллея,5.0,3,ПИК,«Бунинские луга»,Комфорт,Студия,13.0,17.0,Чистовая,1.0,21.5,10.3,5.5,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,6518843,303202.0
 ЮВАО,Стахановская,3.0,3,ПИК,«Волжский парк»,Комфорт,Студия,15.0,24.0,Чистовая,1.0,20.1,9.8,5.2,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,6581584,327441.99004975124
 ВАО,Бульвар Рокоссовского,3.0,3,ПИК,«Открытый парк»,Комфорт,Студия,24.0,33.0,Чистовая,1.0,23.6,11.6,5.9,Монолитный,"Отдельная многоуровневая, гостевая",2024.0,6566818,278255.0
 ЮАО,Красный Строитель,5.0,3,ПИК,«Ютаново»,Комфорт,Студия,17.0,33.0,Чистовая,1.0,23.78,11.6,6.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025.0,6573671,276436.9638351556
 НАО (Новомосковский),Филатов Луг,5.0,3,А101,«Прокшино»,Бизнес,Студия,8.0,16.0,Без отделки,1.0,20.6,8.3,5.0,Монолитный,"Подземная, гостевая",2024.0,6620741,321395.1941747573
 НАО (Новомосковский),Саларьево,4.0,3,ПИК,«Саларьево парк»,Комфорт,Студия,11.0,14.0,Чистовая,1.0,20.0,9.8,5.1,Монолитный,"Подземная, гостевая",2025.0,6649840,332492.0
 НАО (Новомосковский),Улица Горчакова,5.0,3,,«Дзен-кварталы»,,Студия,4.0,18.0,Без отделки,1.0,21.7,7.8,7.8,,,2025.0,6707672,309109.3087557604
 НАО (Новомосковский),Бунинская аллея,5.0,3,,«Бунинские кварталы»,,Студия,7.0,16.0,Без отделки,1.0,24.5,10.6,6.8,,,2024.0,6689468,273039.51020408166
 ЮВАО,Нижегородская,5.0,3,ПИК,«Волжский парк»,Комфорт,Студия,20.0,23.0,Чистовая,1.0,19.7,9.5,5.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,6677433,338955.98984771577
 ЗАО,Давыдково,5.0,3,ПИК,«Новое Очаково»,Комфорт,Студия,12.0,33.0,Чистовая,1.0,20.2,9.9,5.2,Монолитный,"Подземная, гостевая",2024.0,6651052,329260.0
 ЗАО,Давыдково,5.0,3,ПИК,«Новое Очаково»,Комфорт,Студия,23.0,33.0,Предчистовая,1.0,23.7,11.7,6.0,Монолитный,"Подземная, гостевая",2024.0,6683210,281991.9831223629
 ЮАО,Кантемировская,4.0,3,ПИК,«Кавказский бульвар 51»,Комфорт,Студия,4.0,33.0,Чистовая,1.0,21.8,10.7,5.5,Монолитный,"Подземная, отдельная многоуровневая",2024.0,6684315,306619.95412844035
 ЮВАО,Нижегородская,12.0,2,ПИК,«Перовское 2»,Комфорт,Студия,6.0,33.0,Чистовая,1.0,19.97,9.9,5.1,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,6716510,336329.99499248876
 НАО (Новомосковский),Бульвар Адмирала Ушакова,5.0,3,ПИК,«Бунинские луга»,Комфорт,Студия,14.0,17.0,Чистовая,1.0,23.6,11.6,5.9,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,6712217,284415.9745762712
 СВАО,Владыкино,5.0,3,ПИК,«Римского-Корсакова 11»,Комфорт,Студия,2.0,24.0,Чистовая,1.0,21.8,10.7,5.5,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,6664848,305726.97247706424
 ВАО,Партизанская,5.0,3,ПИК,«Лосиноостровский парк»,Комфорт,Студия,13.0,17.0,Чистовая,1.0,20.1,9.9,5.1,Монолитный,Гостевая,2024.0,6756172,336127.96019900497
 НАО (Новомосковский),Филатов Луг,5.0,3,ПИК,«Саларьево парк»,Комфорт,Студия,5.0,14.0,Чистовая,1.0,23.7,11.6,6.0,Монолитный,"Подземная, гостевая",2025.0,6781352,286132.99578059075
 САО,Селигерская,10.0,3,Level Group,«Level Селигерская»,Комфорт,Студия,13.0,30.0,Без отделки,1.0,18.6,6.2,3.6,Монолитный,Подземная,2024.0,6899727,370953.06451612903
 НАО (Новомосковский),Ольховая,10.0,3,Новые Ватутинки,«Новые Ватутинки. Заречный»,Комфорт,Студия,8.0,12.0,Без отделки,1.0,30.3,14.6,11.724697336561748,Монолитный,"Подземная, гостевая",2025.0,6841740,225800.0
 НАО (Новомосковский),Ольховая,14.0,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,Студия,7.0,14.0,Чистовая,1.0,25.4,13.2,11.724697336561748,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,6899148,271620.0
 НАО (Новомосковский),Бунинская аллея,5.0,3,,«Бунинские кварталы»,,Студия,15.0,17.0,Предчистовая,1.0,20.4,6.5,6.9,,,2024.0,6826145,334614.95098039217
 НАО (Новомосковский),Улица Скобелевская,5.0,3,А101,«Скандинавия»,Комфорт,Студия,6.0,17.0,Без отделки,1.0,23.5,8.9,6.8,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,6854041,291661.3191489362
 ЮАО,Нагатинская,5.0,3,ПИК,«Второй Нагатинский»,Комфорт,Студия,2.0,33.0,Чистовая,1.0,19.9,9.8,5.1,Монолитный,"Подземная, гостевая",2025.0,6873858,345420.0
 СВАО,Отрадное,4.0,3,ПИК,«Сигнальный 16»,Комфорт,Студия,20.0,33.0,Чистовая,1.0,21.6,10.7,5.4,Монолитный,"Подземная, гостевая",2025.0,6878584,318452.9629629629
 НАО (Новомосковский),Бунинская аллея,5.0,3,,«Бунинские кварталы»,,Студия,14.0,17.0,Предчистовая,1.0,20.5,6.5,6.9,,,2024.0,6918480,337486.8292682927
 ЗАО,Давыдково,5.0,3,ПИК,«Новое Очаково»,Комфорт,Студия,16.0,33.0,Чистовая,1.0,20.2,9.6,5.5,Монолитный,"Подземная, гостевая",2024.0,6916278,342390.0
 ЮВАО,Дубровка,3.0,3,Level Group,«Level Южнопортовая»,Комфорт,Студия,4.0,24.0,Без отделки,1.0,17.7,8.6,3.0,Монолитный,Подземная,2025.0,6997202,395322.1468926554
 НАО (Новомосковский),Ольховая,14.0,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,Студия,6.0,14.0,Чистовая,1.0,25.7,12.9,11.724697336561748,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,6952878,270540.0
 ВАО,Сокольники,3.0,2,ПИК,«Сокольнический вал 1»,Комфорт,Апартаменты-студия,10.0,21.0,Чистовая,2.0,25.3,12.4,6.5,Монолитный,-,2023.0,6988113,276210.0
 НАО (Новомосковский),Филатов Луг,13.0,3,ПИК,«Середневский лес»,Комфорт,квартира,8.0,9.0,Чистовая,1.0,37.84,10.6,20.2,Панельный,Гостевая,2025.0,6993967,184829.99471458772
 ЗелАО,Пятницкое шоссе,31.0,2,ПИК,«Зелёный парк»,Комфорт,квартира,20.0,25.0,Чистовая,1.0,32.0,12.3,10.1,Панельный,"Отдельная многоуровневая, гостевая",2024.0,7010208,219069.0
 ЮАО,Нагатинская,3.0,3,ПИК,«Второй Нагатинский»,Комфорт,Студия,31.0,33.0,Чистовая,1.0,19.9,9.8,5.1,Монолитный,"Подземная, гостевая",2025.0,7018570,352691.959798995
 ЮАО,Нагатинская,4.0,3,ПИК,«Второй Нагатинский»,Комфорт,Студия,12.0,33.0,Чистовая,1.0,19.9,9.8,5.1,Монолитный,"Подземная, гостевая",2025.0,7088917,356226.98492462316
 СВАО,Владыкино,5.0,3,ПИК,«Римского-Корсакова 11»,Комфорт,Студия,9.0,24.0,Чистовая,1.0,21.8,10.7,5.5,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,7127226,326936.97247706424
 САО,Водники,13.0,3,ДСК-1,«Первый Ленинградский»,Комфорт,Студия,5.0,14.0,Предчистовая,1.0,24.7,9.5,11.724697336561748,Панельный,"Отдельная многоуровневая, гостевая",2023.0,7190269,291104.008097166
 ВАО,Измайлово,4.0,3,ПИК,«Амурский парк»,Комфорт,Студия,17.0,28.0,Чистовая,1.0,23.5,11.5,5.9,Монолитный,"Подземная, гостевая",2025.0,7160849,304716.97872340423
 ВАО,Бульвар Рокоссовского,3.0,3,ПИК,«Открытый парк»,Комфорт,Студия,5.0,33.0,Чистовая,1.0,25.5,12.5,6.4,Монолитный,"Отдельная многоуровневая, гостевая",2024.0,7159890,280780.0
 ЮЗАО,Бульвар Адмирала Ушакова,5.0,3,ПИК,«Никольские луга»,Комфорт,квартира,5.0,9.0,Чистовая,1.0,34.5,10.2,16.1,Панельный,Отдельная многоуровневая,2024.0,7150194,207252.0
 ЮЗАО,Бульвар Адмирала Ушакова,5.0,3,ПИК,«Никольские луга»,Комфорт,квартира,9.0,9.0,Чистовая,1.0,36.3,10.6,18.4,Панельный,Отдельная многоуровневая,2024.0,7229943,199171.9834710744
 ЗАО,Аминьевская,3.0,2,ПИК,«Матвеевский парк»,Комфорт,Студия,2.0,33.0,Предчистовая,1.0,19.85,9.9,5.0,Монолитный,"Подземная, гостевая",2024.0,7215455,363498.99244332494
 ЮАО,Нагатинская,5.0,3,ПИК,«Второй Нагатинский»,Комфорт,Студия,14.0,33.0,Чистовая,1.0,21.8,10.7,5.5,Монолитный,"Подземная, гостевая",2025.0,7268141,333400.9633027523
 НАО (Новомосковский),Рассказовка,7.0,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,Студия,20.0,20.0,Без отделки,1.0,26.9,14.6,11.724697336561748,"Панельный, монолитный",Гостевая,2024.0,7263614,270022.8252788104
 СВАО,Владыкино,5.0,3,ПИК,«Римского-Корсакова 11»,Комфорт,Студия,13.0,24.0,Чистовая,1.0,23.6,11.5,6.0,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,7331953,310675.97457627114
 НАО (Новомосковский),Филатов Луг,4.0,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,Студия,22.0,22.0,Чистовая,1.0,25.9,13.5,11.724697336561748,"Панельный, монолитный",Гостевая,2025.0,7339743,283387.76061776065
 САО,Водники,12.0,3,ДСК-1,«Первый Ленинградский»,Комфорт,Студия,8.0,14.0,Предчистовая,1.0,28.0,12.1,11.724697336561748,Панельный,"Отдельная многоуровневая, гостевая",2024.0,7380800,263600.0
 СЗАО,Спартак,4.0,3,Level Group,«Апартаментный комплекс Level Стрешнево (Левел Стрешнево)»,Бизнес,Апартаменты-студия,4.0,25.0,Без отделки,2.0,23.9,18.8,11.724697336561748,Монолитный,"Подземная, гостевая",2022.0,7365936,308198.1589958159
 ЮВАО,Волгоградский проспект,8.0,3,ПИК,«Первый Дубровский»,Комфорт,Студия,2.0,38.0,Чистовая,1.0,20.01,9.6,5.2,Монолитный,Подземная,2026.0,7413064,370467.9660169915
 СВАО,Бабушкинская,5.0,3,ПИК,«Кольская 8»,Комфорт,Студия,11.0,15.0,Чистовая,1.0,20.0,9.8,5.1,"Панельный, монолитный","Подземная, гостевая",2025.0,7409360,370468.0
 ЗАО,Юго-Западная,4.0,3,ПИК,«Мичуринский парк»,Комфорт,Студия,9.0,21.0,Предчистовая,1.0,22.0,10.7,5.7,Монолитный,"Подземная, гостевая",2024.0,7394816,336128.0
 ЗАО,Раменки,3.0,3,ПИК,«Большая Очаковская 2»,Комфорт,Студия,2.0,33.0,Чистовая,1.0,21.7,9.8,6.3,Монолитный,"Подземная, гостевая",2025.0,7429701,342382.534562212
 НАО (Новомосковский),Прокшино,5.0,3,ПИК,«Саларьево парк»,Комфорт,Студия,8.0,18.0,Чистовая,1.0,25.4,12.5,6.3,Монолитный,"Подземная, гостевая",2024.0,7385786,290778.9763779528
 НАО (Новомосковский),Филатов Луг,5.0,3,А101,«Прокшино»,Бизнес,Студия,9.0,12.0,Предчистовая,1.0,21.0,8.5,5.1,Монолитный,"Подземная, гостевая",2024.0,7510661,357650.5238095238
 ВАО,Измайлово,4.0,3,ПИК,«Амурский парк»,Комфорт,Студия,16.0,33.0,Чистовая,1.0,23.6,11.5,5.9,Монолитный,"Подземная, гостевая",2025.0,7563162,320472.9661016949
 ЗелАО,Пятницкое шоссе,31.0,2,ПИК,«Зелёный парк»,Комфорт,квартира,11.0,11.0,Чистовая,1.0,32.0,9.1,15.9,Панельный,"Отдельная многоуровневая, гостевая",2024.0,7520864,235027.0
 ВАО,Партизанская,5.0,3,ПИК,«Лосиноостровский парк»,Комфорт,Студия,2.0,33.0,Чистовая,1.0,25.5,12.5,6.4,Монолитный,Гостевая,2024.0,7569394,296838.98039215687
 ВАО,Сокольники,3.0,2,ПИК,«Сокольнический вал 1»,Комфорт,Апартаменты-студия,19.0,21.0,Чистовая,2.0,29.0,14.2,7.3,Монолитный,-,2023.0,7571610,261090.0
 СВАО,Владыкино,5.0,3,ПИК,«Римского-Корсакова 11»,Комфорт,Студия,4.0,24.0,Чистовая,1.0,25.4,12.4,6.4,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,7508925,295626.968503937
 НАО (Новомосковский),Филатов Луг,4.0,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,Студия,19.0,22.0,Чистовая,1.0,26.8,14.4,11.724697336561748,"Панельный, монолитный",Гостевая,2025.0,7566031,282314.5895522388
 НАО (Новомосковский),Щербинка,11.0,3,ПИК,«Юнино»,Комфорт,квартира,17.0,17.0,Чистовая,1.0,35.98,17.3,10.5,Монолитный,Гостевая,2024.0,7638625,212301.9733185103
 ЮВАО,Волгоградский проспект,8.0,3,ПИК,«Первый Дубровский»,Комфорт,Студия,4.0,33.0,Чистовая,1.0,20.08,9.9,5.1,Монолитный,Подземная,2026.0,7643833,380668.9741035857
 ВАО,Сокольники,3.0,2,ПИК,«Сокольнический вал 1»,Комфорт,Апартаменты-студия,9.0,21.0,Чистовая,2.0,23.4,11.6,6.0,Монолитный,-,2023.0,7637760,326400.0
 СЗАО,Спартак,5.0,3,ПИК,«Holland park (Холланд парк)»,Комфорт,Студия,2.0,13.0,Без отделки,1.0,24.1,11.0,5.5,Монолитный,"Подземная, гостевая",2024.0,7745306,321381.9917012448
 ЗелАО,Пятницкое шоссе,31.0,2,ПИК,«Зелёный парк»,Комфорт,квартира,24.0,25.0,Чистовая,1.0,35.6,10.1,17.0,Панельный,"Отдельная многоуровневая, гостевая",2024.0,7705370,216442.9775280899
 ВАО,Сокольники,3.0,2,ПИК,«Сокольнический вал 1»,Комфорт,Апартаменты-студия,8.0,21.0,Чистовая,2.0,25.2,12.4,6.5,Монолитный,-,2023.0,7678440,304700.0
 СВАО,Окружная,3.0,3,ПИК,«Сигнальный 16»,Комфорт,Студия,13.0,33.0,Чистовая,1.0,27.3,13.4,6.7,Монолитный,"Подземная, гостевая",2025.0,7692867,281790.0
 НАО (Новомосковский),Филатов Луг,13.0,3,ПИК,«Середневский лес»,Комфорт,квартира,9.0,9.0,Чистовая,1.0,40.75,9.4,16.3,Панельный,Гостевая,2025.0,7667642,188162.99386503067
 ЮЗАО,Бульвар Адмирала Ушакова,4.0,3,А101,«Южные сады»,Комфорт,Студия,11.0,30.0,Предчистовая,1.0,23.6,11.7,3.0,Монолитный,"Подземная, гостевая",2025.0,7797312,330394.5762711864
 ЮЗАО,Бульвар Адмирала Ушакова,4.0,3,А101,«Южные сады»,Комфорт,Студия,21.0,23.0,Без отделки,1.0,24.6,9.0,6.0,Монолитный,"Подземная, гостевая",2023.0,7804559,317258.4959349593
 НАО (Новомосковский),Улица Скобелевская,5.0,3,А101,«Скандинавия»,Комфорт,Студия,8.0,16.0,Без отделки,1.0,24.1,9.1,7.4,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,7842312,325407.13692946057
 НАО (Новомосковский),Рассказовка,2.0,3,Абсолют Недвижимость,«Переделкино Ближнее Город-парк»,Комфорт,Студия,14.0,17.0,Без отделки,1.0,28.7,12.5,11.724697336561748,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,7773399,270850.1393728223
 ЗАО,Аминьевская,3.0,3,ПИК,«Матвеевский парк»,Комфорт,Студия,13.0,33.0,Чистовая,1.0,20.12,9.9,5.1,Монолитный,"Подземная, гостевая",2024.0,7876497,391475.99403578526
 ЮВАО,Дубровка,4.0,3,MR Group,«Метрополия»,Бизнес,Апартаменты-студия,11.0,30.0,Предчистовая,2.0,25.2,20.333629300776895,18.1,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,7889682,313082.61904761905
 НАО (Новомосковский),Бунинская аллея,5.0,3,,«Бунинские кварталы»,,квартира,4.0,17.0,Без отделки,1.0,37.9,13.4,12.4,,,2025.0,7909730,208700.0
 ВАО,Измайлово,4.0,3,ПИК,«Амурский парк»,Комфорт,Студия,22.0,33.0,Чистовая,1.0,25.4,12.4,6.4,Монолитный,"Подземная, гостевая",2025.0,7911693,311483.9763779528
 ВАО,Черкизовская,5.0,3,ПИК,«Лосиноостровский парк»,Комфорт,Студия,20.0,33.0,Чистовая,1.0,23.7,11.6,6.0,Монолитный,Гостевая,2023.0,7968627,336228.9873417722
 ЗАО,Юго-Западная,4.0,3,ПИК,«Мичуринский парк»,Комфорт,Студия,15.0,21.0,Предчистовая,1.0,23.7,11.5,6.1,Монолитный,"Подземная, гостевая",2024.0,7942296,335117.9746835443
 ЗАО,Раменки,3.0,3,ПИК,«Большая Очаковская 2»,Комфорт,Студия,2.0,33.0,Чистовая,1.0,24.1,11.3,6.2,Монолитный,"Подземная, гостевая",2025.0,7946363,329724.6058091286
 САО,Селигерская,10.0,3,Level Group,«Level Селигерская»,Комфорт,Студия,11.0,33.0,Без отделки,1.0,21.8,11.0,3.4,Монолитный,Подземная,2024.0,8043878,368985.2293577982
 НАО (Новомосковский),Филатов Луг,4.0,3,А101,«Прокшино»,Бизнес,Студия,10.0,12.0,Без отделки,1.0,24.0,13.5,3.4,Монолитный,"Подземная, гостевая",2024.0,8026686,334445.25
 СЗАО,Митино,4.0,3,ГК МИЦ,«Сити-комплекс Перец»,Бизнес,апартаменты,24.0,28.0,Чистовая,2.0,46.3,13.6,11.724697336561748,Монолитный,Гостевая,2023.0,8023225,173287.79697624192
 НАО (Новомосковский),Тропарёво,5.0,3,ГК ФСК,«Движение.Говорово Апарт-комплекс»,Комфорт,Апартаменты-студия,12.0,15.0,Без отделки,2.0,24.61,14.1,11.724697336561748,"Монолитно-кирпичный, монолитный",Гостевая,2025.0,8007896,325391.9544900447
 НАО (Новомосковский),Ольховая,14.0,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,квартира,8.0,14.0,Чистовая,1.0,31.5,14.8,11.724697336561748,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,8120574,257796.0
 ЮВАО,Волгоградский проспект,2.0,3,ПИК,«Первый Дубровский»,Комфорт,Студия,22.0,28.0,Чистовая,1.0,20.0,9.8,5.1,Монолитный,Подземная,2025.0,8146660,407333.0
 ЗАО,Мичуринский проспект,3.0,3,ПИК,«Матвеевский парк»,Комфорт,Студия,32.0,34.0,Чистовая,1.0,21.9,10.4,5.7,Монолитный,"Подземная, гостевая",2024.0,8111037,370366.9863013699
 ЮВАО,Волгоградский проспект,4.0,3,MR Group,«Метрополия»,Бизнес,Апартаменты-студия,29.0,30.0,Предчистовая,2.0,24.4,20.333629300776895,16.5,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,8064606,330516.6393442623
 ЮВАО,Лефортово,13.0,2,ПИК,«Красноказарменная 15»,Комфорт,Студия,2.0,26.0,Чистовая,1.0,20.4,10.8,3.9,Монолитный,"Подземная, гостевая",2025.0,8216630,402775.98039215687
 ЮАО,Нагатинская,4.0,3,ПИК,«Второй Нагатинский»,Комфорт,Студия,21.0,33.0,Чистовая,1.0,23.7,11.6,6.0,Монолитный,"Подземная, гостевая",2025.0,8186454,345420.0
 НАО (Новомосковский),Бунинская аллея,5.0,3,,«Бунинские кварталы»,,квартира,4.0,17.0,Без отделки,2.0,37.7,10.4,16.9,,,2025.0,8275150,219499.99999999997
