Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена,Цена за 1 кв.м
 НАО (Новомосковский),Тропарёво,5.0,3,ГК ФСК,«Движение.Говорово Апарт-комплекс»,Комфорт,апартаменты,2.0,15.0,Чистовая,3.0,59.31,39.0,6.2,"Монолитно-кирпичный, монолитный",Гостевая,2025.0,12373551,208625.03793626706
 НАО (Новомосковский),Бунинская аллея,5.0,3,,«Бунинские кварталы»,,квартира,4.0,17.0,Без отделки,4.0,72.4,34.1,22.2,,,2025.0,12691720,175300.0
 ЮЗАО,Бульвар Адмирала Ушакова,5.0,3,А101,«Южные сады»,Комфорт,квартира,3.0,30.0,Без отделки,4.0,77.1,36.5,17.4,Монолитный,"Подземная, гостевая",2025.0,15919349,206476.64072632947
 СЗАО,Сходненская,3.0,3,ГК ФСК,«Sky Garden (Скай Гарден)»,Бизнес,квартира,24.0,30.0,Предчистовая,3.0,81.2,38.3,13.9,Монолитный,"Подземная, гостевая",2025.0,21098318,259831.50246305417
 ЮАО,Серпуховская,17.0,3,MR Group,«Павелецкая сити»,Бизнес,квартира,2.0,32.0,Предчистовая,2.0,64.1,24.9,26.6,Монолитный,"Подземная, гостевая",2024.0,26305578,410383.43213728553
 СЗАО,Стрешнево,11.0,2,Мангазея,«Интонация»,Бизнес,квартира,6.0,21.0,Без отделки,2.0,75.0,33.0,15.9,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,28432500,379100.0
 ЮВАО,Лухмановская,4.0,3,Группа Самолет,«Квартал Некрасовка»,Комфорт,квартира,23.0,23.0,Чистовая,3.0,58.8,40.8,11.724697336561748,Монолитный,Гостевая,2022.0,14407081,245018.3843537415
 НАО (Новомосковский),Рассказовка,2.0,3,Абсолют Недвижимость,«Переделкино Ближнее Город-парк»,Комфорт,квартира,7.0,17.0,Неизвестно,3.0,78.0,44.0,11.724697336561748,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,14959446,191787.76923076922
 НАО (Новомосковский),Филатов Луг,12.0,3,ГК МИЦ,«Цветочные поляны»,Комфорт,квартира,6.0,7.0,Чистовая,4.0,88.5,46.7,5.3,Монолитный,"Отдельная многоуровневая, гостевая",2022.0,18505350,209100.0
 ЗАО,Аминьевская,5.0,3,,«ОМ»,,квартира,2.0,23.0,Без отделки,3.0,64.3,20.333629300776895,19.9,,,2025.0,19167438,298093.9035769829
 СВАО,Алексеевская,16.0,3,КОРТРОС,«iLove (АйЛав)»,Бизнес,квартира,9.0,32.0,Без отделки,3.0,64.84,48.6,11.724697336561748,Монолитный,"Подземная, гостевая",2023.0,21000000,323874.15175817395
 ЮВАО,Люблино,3.0,2,Forma,«Portland (Портленд)»,Бизнес,квартира,11.0,22.0,Без отделки,2.0,70.5,25.8,21.3,Монолитный,"Подземная, гостевая",2025.0,23115681,327882.0
 СЗАО,Карамышевская,2.0,3,Концерн КРОСТ,«Crystal (Кристал)»,Бизнес,квартира,4.0,28.0,Без отделки,3.0,79.5,20.333629300776895,17.4,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025.0,25201500,317000.0
 СЗАО,Тушинская,5.0,3,"ООО ""СЗ ""Стадион ""Спартак""",«Клубный город на реке Primavera (Примавера)»,Премиум,квартира,2.0,13.0,Черновая,2.0,66.7,31.9,13.3,Монолитный,"Подземная, гостевая",2025.0,25499410,382300.0
 ЗАО,Кунцевская,3.0,3,Ташир,«West Tower (Апартаменты бизнес-класса) (Вест Тауэр)»,Бизнес,апартаменты,15.0,21.0,С отделкой,3.0,74.5,46.9,7.8,Монолитный,"Подземная, гостевая",2020.0,25881300,347400.0
 САО,Петровский Парк,5.0,3,Glincom,«Verdi (Верди)»,Премиум,апартаменты,1.0,8.0,Без отделки,3.0,72.1,20.333629300776895,11.724697336561748,Монолитный,-,2024.0,28452700,394628.29403606104
 НАО (Новомосковский),Филатов Луг,4.0,3,А101,«Прокшино»,Бизнес,квартира,12.0,15.0,Без отделки,3.0,52.8,22.2,16.2,Монолитный,"Подземная, гостевая",2024.0,13402061,253826.9128787879
 СЗАО,Шелепиха,10.0,2,Level Group,«Level Причальный (Левел Причальный)»,Бизнес,квартира,10.0,32.0,Без отделки,2.0,44.5,25.0,6.3,"Монолитно-кирпичный, монолитный",Подземная,2023.0,18458872,414806.11235955055
 НАО (Новомосковский),Прокшино,3.0,3,,,,квартира,2.0,15.0,Без отделки,3.0,88.4,47.0,18.7,,,2022.0,18707817,211626.88914027147
 НАО (Новомосковский),Рассказовка,7.0,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,8.0,21.0,Чистовая,3.0,93.1,44.8,11.724697336561748,"Панельный, монолитный",Гостевая,2024.0,19253620,206805.80021482278
 ЮАО,Аннино,3.0,3,РГ-Девелопмент,«МФК Варшавские ворота»,Комфорт,квартира,10.0,30.0,Без отделки,3.0,74.9,41.3,14.2,Монолитный,Подземная,2025.0,19713680,263200.0
 СЗАО,Тушинская,3.0,3,MR Group,«City Bay (Сити Бэй)»,Бизнес,квартира,2.0,52.0,Предчистовая,3.0,84.7,40.1,11.724697336561748,Монолитный,Подземная,2023.0,20829565,245921.6646989374
 СВАО,Марьина роща,8.0,2,MR Group,«Mod (Мод)»,Премиум,квартира,10.0,55.0,Предчистовая,2.0,64.35,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2024.0,23101650,359000.00000000006
 ЦАО,Краснопресненская,3.0,3,,,,квартира,24.0,26.0,Предчистовая,1.0,39.62,11.9,8.3,,,2025.0,28312650,714604.9974760222
